Symbol	UlPxChange	YieldRate
sz000983	-0.472438717747	-0.310247130071
sz000999	-0.311905435867	-0.162754117163
sz002001	-0.219223211189	0.0958127763636
sz002007	-0.472030169705	-0.0600542890796
sz002024	-0.35515640985	-0.0802027215986
sz002038	-0.158887325311	0.124310725333
sz002069	-0.134585855105	-0.0655450762927
sz002073	-0.431745101793	0.0245548587125
sz002081	-0.239981979953	-0.14014045103
sz002092	-0.481551050846	-0.111711836363
sz002106	-0.637384921131	-0.0527192764655
sz002122	-0.507918390475	0.0832799381122
sz002128	-0.473461380677	-0.258811978336
sz002142	-0.243826160228	-0.299151136588
sz002146	-0.141660516229	-0.384214156765
sz002155	-0.451267780861	0.0612548948821
sz002202	-0.643696821991	-0.162787915043
sz002241	-0.116556992663	0.21138622874
sz002299	-0.17714410527	0.0505132145648
sz002304	0.124326335944	0.408450365433
sz002310	-0.367929348223	0.0873029337529
sz002344	-0.162392897559	0.210402857737
sz002353	-0.0232422559347	0.0404610097209
sz002378	-0.394473153961	0.0234802366351
sz002385	-0.190300885228	0.0333342574047
sz002399	-0.633176188928	0.0876147766155
sz002405	-0.563832107155	0.0729444419503
sz002415	-0.0794175012863	0.199289896221
sz002422	-0.443478230225	-0.193731876963
sz002431	-0.467694244617	0.211053948171
sz002493	-0.463992691241	0.0662224345818
sz002500	-0.460097252395	-0.501840758627
sz002570	-0.402429952889	0.039252776229
sz002594	-0.0176724137931	-0.108455735303
sz002603	-0.0952156493047	-0.0483646192643
sh600000	-0.0968381187301	-0.151536267507
sh600005	-0.273139325919	-0.187222146262
sh600009	-0.00203603544979	-0.156784847039
sh600010	0.0886376251777	0.354041684429
sh600011	-0.0180040591713	0.0440644215425
sh600015	0.0471598094192	-0.0677163751022
sh600016	0.196100553538	0.00186550293087
sh600019	-0.202969193917	-0.0913112999783
sh600022	-0.0308988764045	0.210576692758
sh600028	-0.0805569012751	-0.0399429903234
sh600029	-0.516819571865	0.00782973283972
sh600030	-0.202188060264	-0.232065011195
sh600031	-0.128479870913	0.12706950407
sh600036	-0.0557672447127	-0.140064622078
sh600037	-0.360576923077	-0.167081895712
sh600048	0.0301735970885	-0.228149721925
sh600050	-0.0229389994895	-0.130680286194
sh600058	-0.324270204684	0.0496389077165
sh600062	-0.44928520918	-0.167066115216
sh600066	0.139937502727	-0.166928282837
sh600068	-0.335521697841	0.050503872206
sh600085	0.0434083240734	0.84879552572
sh600089	-0.461696921602	-0.158286269402
sh600096	-0.440948234365	-0.0313206784933
sh600100	-0.333812065788	0.119995200111
sh600104	-0.0244115570201	0.257182656708
sh600108	-0.258698940998	-0.205044110448
sh600109	-0.323549488055	-0.589334036047
sh600111	-0.211964706181	0.21249714833
sh600115	-0.429429429429	-0.250826499344
sh600118	-0.182016041255	0.0152843601852
sh600123	-0.194004241061	0.208693327488
sh600125	-0.159090909091	0.11541854682
sh600132	-0.481365909079	0.209865182234
sh600143	-0.194364627977	-0.226013748149
sh600150	-0.382036672154	-0.113077482562
sh600153	-0.0227047658345	0.114176466572
sh600160	0.162848959809	0.608238358804
sh600166	-0.514136353825	0.227033948421
sh600169	-0.465568067562	-0.0512289560896
sh600170	-0.385782684394	-0.0671349472524
sh600177	-0.103530550671	-0.0938259222988
sh600183	-0.349730202217	-0.154924677963
sh600188	-0.225342384296	-0.0447255768977
sh600196	-0.360138694623	-0.0828283835192
sh600208	-0.316660853669	0.0743351766236
sh600216	-0.381955380219	-0.0416672816109
sh600219	-0.346736156177	0.104780947002
sh600221	-0.492001696988	-0.0658117529231
sh600252	-0.4068861523	0.294314144904
sh600256	-0.279570512821	0.332425237795
sh600259	-0.41217257319	-0.206158912851
sh600266	0.0189045450909	-0.272763603094
sh600267	-0.164113502682	-0.174027861646
sh600271	-0.274939457521	-0.0537309869439
sh600276	-0.24358879012	0.0111655148835
sh600307	-0.218003782279	-0.207089631651
sh600309	-0.115713146957	0.244291133443
sh600315	0.00591715976331	-0.00261622711487
sh600316	-0.378494195986	0.441015570652
sh600320	-0.280916030534	-0.106384757263
sh600331	-0.467008327995	-0.152446108775
sh600348	-0.491047796223	-0.178303374306
sh600352	-0.50782537638	-0.0711867547048
sh600362	-0.525364077673	-0.0580900536266
sh600369	-0.222448751057	-0.147061979707
sh600372	-0.245	0.516945740565
sh600376	-0.260420268932	-0.142150971411
sh600383	-0.189151082172	-0.124102101129
sh600395	-0.393528082218	-0.186560516212
sh600406	-0.117318941079	0.0237700044097
sh600415	-0.552639087019	0.0833691561041
sh600418	-0.427188359303	-0.142481150956
sh600432	-0.523492224467	-0.261116275453
sh600456	-0.342484710188	0.376553255946
sh600489	-0.434950213288	0.0607266761851
sh600497	-0.348568824461	-0.25385867531
sh600498	-0.323881587681	0.364219269748
sh600500	-0.462099546796	0.0402765495722
sh600508	-0.347499406818	-0.0523949946007
sh600516	-0.390972222222	0.240838559736
sh600518	-0.35840858171	0.0702824580128
sh600519	0.151393065764	0.204312256617
sh600528	-0.455550704045	-0.261956481179
sh600535	0.0518239451573	0.0942337885069
sh600546	-0.313634484328	-0.184510174113
sh600547	-0.464081641211	0.12052646482
sh600549	-0.381175687881	0.107972620418
sh600550	-0.46857158519	-0.175885167471
sh600583	-0.322660098522	-0.187442340314
sh600585	-0.224339211632	0.195903644465
sh600588	-0.208578723863	-0.110740613873
sh600595	-0.533294557506	-0.0583843150692
sh600598	-0.340856065226	-0.246532178061
sh600600	-0.0217070535917	0.0619266357109
sh600642	-0.0951131306118	-0.0798732445456
sh600649	-0.232478807766	-0.215147382673
sh600655	-0.374644426983	-0.162605574857
sh600660	-0.189870881759	-0.02316061635
sh600664	-0.575357404682	0.0383290098735
sh600674	-0.233584148506	-0.19140648493
sh600690	-0.36635253803	0.0123067435356
sh600694	-0.299470899471	-0.40347724009
sh600703	-0.496949941605	-0.128411928187
sh600718	-0.49315920398	-0.0475019882377
sh600739	-0.389387711334	-0.203979818552
sh600741	-0.0731328723552	0.344969800054
sh600770	-0.270881402861	0.492110798496
sh600779	-0.045560904648	0.194368542311
sh600783	-0.00882186755524	0.539099154509
sh600795	-0.0477252453167	0.00132768078426
sh600804	-0.327167630058	0.37368919508
sh600809	-0.0716858263909	0.220337065975
sh600811	-0.301020408163	-0.200663503736
sh600812	-0.588571428571	-0.111220288764
sh600827	-0.373770491803	-0.333422683984
sh600832	-0.367719728332	-0.116608934495
sh600837	-0.221738222395	-0.275505951981
sh600839	-0.275606469003	-0.0525322219168
sh600859	-0.354150173057	-0.261945927182
sh600863	-0.12906610703	-0.0638370940648
sh600873	-0.24255784524	0.1211490566
sh600875	-0.344735592101	-0.0908625419783
sh600881	-0.282870826954	-0.107288428675
sh600887	0.0666666666667	-0.0843143377745
sh600893	-0.128742714584	0.535038643058
sh600895	-0.220492585986	-0.00362715332177
sh600900	-0.128475186157	-0.0973329991639
sh600970	-0.527447818075	0.123604633778
sh600971	-0.429137077533	-0.160529534241
sh600997	-0.463793943214	-0.293760534986
sh600999	-0.286427267973	-0.253723201378
sh601001	-0.429048632593	-0.229099676093
sh601006	-0.0059448636505	-0.126055818263
sh601009	-0.0455357845396	-0.199762571894
sh601018	-0.224238489862	-0.375882527678
sh601088	0.0297684100963	-0.0658521727238
sh601098	-0.239847956535	-0.185030351131
sh601099	-0.382920110193	-0.398998338067
sh601101	-0.205370044714	-0.101952402529
